Bash version 4.4.20(1)-release...
Bench #1
ndarts	time(seq)	pi(seq)	err(seq)	time(omp)	pi(omp)	err(omp)
1000000	0.021078	3.1401159999999999	0.0014766535897932	0.005453	3.1403040000000000	0.0012886535897931
10000000	0.211329	3.1417852000000002	0.0001925464102071	0.052931	3.1416480000000000	0.0000553464102069
100000000	2.115709	3.1416987199999999	0.0001060664102068	0.527469	3.1412407999999998	0.0003518535897933
200000000	4.245899	3.1415791400000002	0.0000135135897930	1.055612	3.1416623200000000	0.0000696664102069
300000000	6.368212	3.1415823199999999	0.0000103335897932	1.588514	3.1417013866666665	0.0001087330768734
400000000	8.465439	3.1415960200000002	0.0000033664102070	2.111862	3.1415031600000001	0.0000894935897930
500000000	10.610921	3.1415816400000001	0.0000110135897931	2.638089	3.1415810880000001	0.0000115655897930
600000000	12.674732	3.1415971200000001	0.0000044664102070	3.171554	3.1416692533333332	0.0000765997435401
700000000	14.817725	3.1415795257142856	0.0000131278755076	3.673144	3.1415769828571429	0.0000156707326502
800000000	16.933708	3.1415880349999998	0.0000046185897933	4.219783	3.1415739399999998	0.0000187135897933
900000000	19.047631	3.1415917555555555	0.0000008980342376	4.750339	3.1416275377777776	0.0000348841879845
1000000000	21.150161	3.1415821920000000	0.0000104615897931	5.271770	3.1416200320000001	0.0000273784102069
Bench #2
ndarts	time(seq)	pi(seq)	err(seq)	time(omp)	pi(omp)	err(omp)
1000000	0.021089	3.1420640000000000	0.0004713464102069	0.005440	3.1422560000000002	0.0006633464102070
10000000	0.211107	3.1415516000000001	0.0000410535897930	0.053043	3.1415296000000001	0.0000630535897930
100000000	2.112531	3.1415441600000000	0.0000484935897931	0.527279	3.1416776000000000	0.0000849464102068
200000000	4.233682	3.1415849400000000	0.0000077135897931	1.055838	3.1416583999999999	0.0000657464102067
300000000	6.347278	3.1415402533333334	0.0000524002564597	1.585841	3.1415921066666668	0.0000005469231263
400000000	8.467245	3.1415944400000000	0.0000017864102069	2.108159	3.1416131200000001	0.0000204664102070
500000000	10.566035	3.1415853999999999	0.0000072535897933	2.643068	3.1415523520000002	0.0000403015897930
600000000	12.703893	3.1415827533333331	0.0000099002564600	3.170711	3.1415470399999998	0.0000456135897933
700000000	14.758068	3.1415936057142857	0.0000009521244926	3.692175	3.1415304914285715	0.0000621621612216
800000000	16.853069	3.1415968749999998	0.0000042214102067	4.216621	3.1415604199999998	0.0000322335897933
900000000	19.030987	3.1415953511111110	0.0000026975213179	4.757095	3.1415787377777780	0.0000139158120152
1000000000	21.099511	3.1415785320000000	0.0000141215897931	5.283623	3.1415897920000000	0.0000028615897931
Bench #3
ndarts	time(seq)	pi(seq)	err(seq)	time(omp)	pi(omp)	err(omp)
1000000	0.021179	3.1414240000000002	0.0001686535897929	0.005406	3.1396959999999998	0.0018966535897933
10000000	0.211505	3.1407120000000002	0.0008806535897929	0.052945	3.1396000000000002	0.0019926535897929
100000000	2.115337	3.1415988800000001	0.0000062264102070	0.528340	3.1419222400000000	0.0003295864102069
200000000	4.225164	3.1415970400000002	0.0000043864102071	1.055892	3.1414906399999998	0.0001020135897933
300000000	6.351137	3.1415860800000002	0.0000065735897929	1.586157	3.1416137066666665	0.0000210530768734
400000000	8.452724	3.1415845999999998	0.0000080535897933	2.108935	3.1415354400000002	0.0000572135897929
500000000	10.578519	3.1415765840000001	0.0000160695897931	2.635887	3.1415936320000002	0.0000009784102071
600000000	12.685881	3.1415831666666665	0.0000094869231266	3.163798	3.1415574400000001	0.0000352135897930
700000000	14.844798	3.1415875199999999	0.0000051335897933	3.694977	3.1416097828571430	0.0000171292673499
800000000	16.910911	3.1415840450000001	0.0000086085897930	4.218183	3.1415774600000002	0.0000151935897930
900000000	19.034187	3.1415791422222221	0.0000135113675710	4.754091	3.1415514666666668	0.0000411869231263
1000000000	21.142659	3.1415940999999998	0.0000014464102067	5.273575	3.1416263999999998	0.0000337464102067
Bench #4
ndarts	time(seq)	pi(seq)	err(seq)	time(omp)	pi(omp)	err(omp)
1000000	0.021121	3.1416520000000001	0.0000593464102070	0.005416	3.1406559999999999	0.0009366535897932
10000000	0.211853	3.1410396000000000	0.0005530535897931	0.052929	3.1411791999999998	0.0004134535897933
100000000	2.113261	3.1415564800000002	0.0000361735897929	0.527878	3.1416086399999998	0.0000159864102067
200000000	4.235694	3.1415913400000002	0.0000013135897929	1.057212	3.1415300799999999	0.0000625735897932
300000000	6.358326	3.1416089333333335	0.0000162797435403	1.582597	3.1416388266666666	0.0000461730768735
400000000	8.489311	3.1415744200000000	0.0000182335897931	2.111210	3.1416499600000001	0.0000573064102070
500000000	10.565751	3.1416089679999999	0.0000163144102068	2.637576	3.1415747199999999	0.0000179335897932
600000000	12.746006	3.1415805866666666	0.0000120669231265	3.178157	3.1415740799999998	0.0000185735897933
700000000	14.791376	3.1415913600000001	0.0000012935897931	3.690918	3.1416195885714284	0.0000269349816353
800000000	16.840724	3.1415856450000001	0.0000070085897930	4.218137	3.1415688400000001	0.0000238135897930
900000000	19.003269	3.1415767955555554	0.0000158580342378	4.764331	3.1415903466666668	0.0000023069231263
1000000000	21.126888	3.1415901399999999	0.0000025135897932	5.272809	3.1415964320000000	0.0000037784102069
Bench #5
ndarts	time(seq)	pi(seq)	err(seq)	time(omp)	pi(omp)	err(omp)
1000000	0.021124	3.1418080000000002	0.0002153464102070	0.005465	3.1402720000000000	0.0013206535897932
10000000	0.211550	3.1404828000000000	0.0011098535897931	0.052994	3.1407023999999999	0.0008902535897932
100000000	2.112135	3.1415752800000001	0.0000173735897930	0.527764	3.1416297599999998	0.0000371064102067
200000000	4.228709	3.1415785600000001	0.0000140935897930	1.056307	3.1414407199999999	0.0001519335897933
300000000	6.335298	3.1415905333333334	0.0000021202564597	1.582402	3.1415530666666664	0.0000395869231267
400000000	8.478423	3.1415981500000001	0.0000054964102070	2.111501	3.1415740400000001	0.0000186135897930
500000000	10.566775	3.1415925599999999	0.0000000935897932	2.638222	3.1415429119999998	0.0000497415897933
600000000	12.682130	3.1415872533333333	0.0000054002564598	3.166325	3.1415318133333332	0.0000608402564599
700000000	14.762791	3.1415928285714285	0.0000001749816354	3.689431	3.1415751542857144	0.0000174993040787
