Bash version 4.4.20(1)-release...
Bench #1
ndarts	time(seq)	pi(seq)	time(omp)	pi(omp)
1e+06	0.054232	3.15179	0.0364336	3.14554
1e+07	0.54841	3.14336	0.362203	3.14074
1e+08	5.41568	3.14203	3.61302	3.14248
2e+08	10.8427	3.1419	7.2131	3.14111
3e+08	16.3185	3.14155	10.788	3.14124
4e+08	21.7176	3.14138	14.4502	3.1413
5e+08	27.1747	3.14143	17.9951	3.14158
6e+08	32.6063	3.14144	21.59	3.14101
7e+08	38.2798	3.14152	25.2514	3.14137
8e+08	43.4433	3.14158	28.8001	3.14154
9e+08	48.9202	3.14139	32.3905	3.14148
1e+09	54.4282	3.14126	36.0423	3.14148
Bench #2
ndarts	time(seq)	pi(seq)	time(omp)	pi(omp)
1e+06	0.05467	3.14153	0.0364601	3.14647
1e+07	0.5419	3.14039	0.362223	3.14128
1e+08	5.42299	3.14196	3.61028	3.14093
2e+08	10.8481	3.14175	7.22864	3.14104
3e+08	16.3057	3.14104	10.8344	3.14115
4e+08	21.6918	3.14171	14.4363	3.14174
5e+08	27.0892	3.14152	18.0736	3.14162
6e+08	32.5196	3.14168	21.6717	3.1412
7e+08	37.9753	3.14153	25.255	3.14131
8e+08	43.3974	3.14147	28.8608	3.14144
9e+08	48.8893	3.14143	32.4331	3.14137
1e+09	54.2873	3.14144	36.0864	3.14163
Bench #3
ndarts	time(seq)	pi(seq)	time(omp)	pi(omp)
1e+06	0.054305	3.14541	0.0364	3.1468
1e+07	0.548455	3.14133	0.362234	3.14177
1e+08	5.4251	3.1413	3.61527	3.14063
2e+08	10.8506	3.1419	7.22889	3.14077
3e+08	16.4842	3.14111	10.8262	3.14147
4e+08	21.7167	3.14202	14.4407	3.14125
5e+08	27.3639	3.14145	18.0252	3.14115
6e+08	32.6715	3.14168	21.6725	3.1416
7e+08	37.9637	3.14151	25.2544	3.14151
8e+08	43.611	3.14141	28.9029	3.14158
9e+08	48.906	3.14159	32.523	3.14148
1e+09	54.4184	3.1415	36.0996	3.14147
Bench #4
ndarts	time(seq)	pi(seq)	time(omp)	pi(omp)
1e+06	0.055662	3.13835	0.0364186	3.14305
1e+07	0.541688	3.14173	0.361597	3.13893
1e+08	5.54508	3.14226	3.61515	3.14071
2e+08	10.9745	3.14134	7.2311	3.14048
3e+08	16.4401	3.1421	10.8427	3.14117
4e+08	21.7508	3.14115	14.4113	3.14122
5e+08	27.1923	3.14135	17.9758	3.14158
6e+08	32.5923	3.14121	21.9444	3.14144
